body_organ;symbol_series
WFC;WFC
UNITAR;UNITAR
ID;UNIDO
UNEP;UNEP
UNECE;UNECE
UNDP;DP
UNCTAD;TD
UNCTAD;UNCTAD
Secretriat;ST
Security Council;S
OLA;OLA
ISBA;ISBA
ILC;ILC
UNCCD;ICCD
UNFCCC;FCCC
UNECE;ECE/WAT
UNECE;ECE/TRADE
UNECE;TRADE
UNECE;ECE/TIM
UNECE;ECE/TEIA
UNECE;ECE/PP
UNECE;ECE/ITC
UNECE;ECE/HBP
UNECE;ECE/ENERGY
UNECE;ENERGY
UNECE;ECE/EIA
UNECE;ECE/EB
UNECE;ECE/CES
UNECE;CES
UNECE;ECE/CEP
UNECE;CEP
UNECE;ECE/CECI
UNECE;TRANS
UNECE;EB.AIR
UNECE;TIM
UNECE;ECE
UNECE;E/ECE
Comission on the status of women;E/CN.6
Commission for Social Development;E/CN.5
Committee on NGOs;E/C.2
ECOSOC;E
Human Rights TB;CRPD
Human Rights TB;CRC
Human Rights TB;CMW
Human Rights TB;CESCR
Human Rights TB;CERD
Human Rights TB;CEDAW
Human Rights TB;CED
Human Rights TB;CCPR
Human Rights TB;CAT
Human Rights TB;SPT
Disarmament;CD
Disarmament;CCW
Disarmament;NPT
Disarmament;APLC
Disarmament;BWC
UNODC;UNODC
ICC;PCNICC
Human Rights Council;A/HRC
General Assembly;A
General Assembly;JOURNAL NO
IDB;IDB
SPLOS;SPLOS